Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,FQtyL,FQtyR,E1 FFlow,E1 FPres,E1 OilT,E1 OilP,E1 MAP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2025-01-28,16:51:38,,,34.976166,-117.944008,,29.92,5600,,,242,,,,,,,254,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:40,,,34.975616,-117.946693,,29.92,5575,,,240,,,,,,,256,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:43,,,34.974976,-117.949776,,29.92,5550,,,238,,,,,,,255,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:45,,,34.974197,-117.953537,,29.92,5500,,,236,,,,,,,256,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:47,,,34.973694,-117.956055,,29.92,5450,,,237,,,,,,,257,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:50,,,34.973099,-117.959305,,29.92,5400,,,237,,,,,,,257,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:52,,,34.972641,-117.961884,,29.92,5375,,,238,,,,,,,258,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:54,,,34.972137,-117.964668,,29.92,5350,,,240,,,,,,,257,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:56,,,34.971588,-117.968277,,29.92,5350,,,241,,,,,,,258,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:58,,,34.971176,-117.970688,,29.92,5350,,,239,,,,,,,258,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:52:00,,,34.970764,-117.973381,,29.92,5350,,,235,,,,,,,259,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:52:02,,,34.970322,-117.976395,,29.92,5325,,,233,,,,,,,259,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:52:05,,,34.96994,-117.97921,,29.92,5300,,,230,,,,,,,261,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:52:18,,,34.968384,-117.995125,,29.92,5150,,,220,,,,,,,266,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:52:20,,,34.968319,-117.99791,,29.92,5125,,,224,,,,,,,268,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:52:22,,,34.968292,-118.00135,,29.92,5075,,,227,,,,,,,271,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
